model,layer,score
CHRESMAX_V3_2_ABS,model_backbone.s2b.s2b_seqs.0.1.bn2,1.4643
CHRESMAX_V3_2,model_backbone.s2b.s2b_seqs.1.0.0,-3.7857
RESNET50,layer4.0.conv2,-0.3571
RESNET50,layer4.0.bn2,-0.2857
CHRESMAX_V3_2_ABS,model_backbone.s2b.s2b_seqs.1.0.0,-1.6071
CHRESMAX_V3_2,model_backbone.s2b.s2b_seqs.1.0.1,-1.1429
RESNET50,layer4.0.conv3,-0.1786
RESNET50,layer4.0.bn3,2.7143
CHRESMAX_V3_2_ABS,model_backbone.s2b.s2b_seqs.1.0.1,1.6429
CHRESMAX_V3_2,model_backbone.s2b.s2b_seqs.1.0.2,-1.1429
RESNET50,layer4.0.relu,2.7143
RESNET50,layer4.0.downsample.0,2.1071
CHRESMAX_V3_2_ABS,model_backbone.s2b.s2b_seqs.1.0.2,1.6429
CHRESMAX_V3_2,model_backbone.s2b.s2b_seqs.1.1.conv1,0.7143
RESNET50,layer4.0.downsample.1,3.4643
CHRESMAX_V3_2_ABS,model_backbone.s2b.s2b_seqs.1.1.conv1,2.1071
RESNET50,layer4.1.conv1,-1.0000
CHRESMAX_V3_2,model_backbone.s2b.s2b_seqs.1.1.conv2,1.1429
RESNET50,layer4.1.bn1,-0.4643
CHRESMAX_V3_2_ABS,model_backbone.s2b.s2b_seqs.1.1.conv2,0.1786
RESNET50,layer4.1.conv2,-0.5357
CHRESMAX_V3_2,model_backbone.s2b.s2b_seqs.1.1.bn1,1.6071
RESNET50,layer4.1.bn2,-0.8571
CHRESMAX_V3_2_ABS,model_backbone.s2b.s2b_seqs.1.1.bn1,0.3571
CHRESMAX_V3_2,model_backbone.s2b.s2b_seqs.1.1.bn2,-2.0357
RESNET50,layer4.1.conv3,-0.7857
RESNET50,layer4.1.bn3,2.4286
CHRESMAX_V3_2_ABS,model_backbone.s2b.s2b_seqs.1.1.bn2,2.4643
CHRESMAX_V3_2,model_backbone.s2b.s2b_seqs.1.2.conv1,-0.8571
RESNET50,layer4.1.relu,2.4286
CHRESMAX_V3_2_ABS,model_backbone.s2b.s2b_seqs.1.2.conv1,1.2500
RESNET50,layer4.2.conv1,-0.7500
